ID,Seguidores,Siguiendo,Favoritos Cuenta
carlospiza,1825,999,129
JOATOES,480,1172,210
GUADIANA_Wines,1356,1702,350
VINA_XETAR,1040,1268,202
ortizfonso,1328,1891,1881
mudanzas_portes,1894,3536,12832
PackCompany,115,544,18
TomikoSpain,1493,928,41
enripenalver,2446,47,100365
DegustaJaen,3971,1107,2338
Mallorca_Mola,2434,859,2707
KikeDeGea,535,1321,1197
OlideMallorca,1046,629,947
AntojeriaTapas,625,812,324
Bici_Solidaria,3927,4447,92157
recetasdecarol,7714,7613,11597
Mesadedos,4116,1005,6446
soledadcoope,801,716,5677
Natural_Uve,0,21,3
saberculinario,6585,1732,5450
oceanashop,1373,1244,10360
orodecanava,2690,765,463
jherreraarenas,391,432,1678
LaHoja_LaFueya,1525,1173,2352
Grafimediaweb,3164,2763,2677
sitioparapostre,18635,7320,12809
MadridEngancha,1912,1215,3546
Saboreandolavid,4400,1989,12470
LesFartures,4124,4748,8892
weetabix_es,1936,178,3548
QvExtra,852,374,255
irismusearts,853,398,14235
mister_closet,1495,565,23756
CeremecoSalud,327,824,818
Aceite100Canos,887,699,70
VallaVir,2230,1362,5709
joselop44,6131,4762,25605
AndPCz,1070,904,10310
ElCaballoGoloso,3316,2776,17963
Pozuelo2015Mary,1586,1624,12412
AnaPatricia_GC,2519,2280,9887
bottleandcan,12797,12243,45114
Virgini31410456,240,2070,914
Ariencilla,3866,1829,33284
chris_aparicio_,6106,2241,9902
palomamobaile,2950,1627,10501
Maricar63859553,16,186,223
AnUnusualStyle,815,233,8884
Ana_I_Sanchez,1311,553,243
jugoviral,1005,1073,6109
Andreadiezp,1218,922,13363
ulparapensar,1671,1409,13450
Maria_Rocio_L,6549,5695,59567
GourmetCulture,1510,1974,163
buscobanco,517,490,9131
WhynotShopper,554,319,8253
LupoterraAove,41,54,100
saboreamalaga,1041,734,10644
fciasufornells,566,1125,3688
CzarinaGalan,83,218,1599
AsajaMalaga,428,214,47
soniajuradops,1750,965,22789
Analupao,293,184,5472
REPORTINQUIETO,4941,4231,1416
RafaelMuela,508,124,61
SergioDenia,1262,1214,2512
claudiabola,1522,2517,1586
PersonalizaloDD,812,1878,22557
Tamiz_revista,634,159,81
CIFEM_mx,608,1372,45
PalomaTrends,5114,2608,34270
PlanetBoadilla,157,187,440
ElPlanetaDeA1,1117,1643,4895
LifeLoversBcn,7252,3018,51347
StrategiaOnline,15409,3028,338
illerenadefrut1,60,74,2578
cmartecreativo,1726,1431,18779
molinojabonero,137,129,55
franciscowjg,5094,5024,311
romy_canadas,5046,2639,27896
mivestidoazul_,7077,1772,54960
Remealsurdelsur,3869,2666,1877
Mohammadrawat_9,28,49,7
DulceMenta213,4126,2360,3179
SusanaOlympia,1397,1420,18827
lamodaevita,1158,916,3158
agrodhuelva,1180,502,106
BeatrizFernnd,4647,2251,49003
Stardivarius_,2726,1085,37358
D43NeRYs,15,11,0
JoseMeleroAmate,646,611,265
diarioas,2245671,1043,10079
tiny_robin,472,705,3344
Ninja2p0,4079,2269,13849
lperezabad,950,1149,1465
Antoniad2014D,4,56,45
sumillerasesor,534,927,1396
CasaLhardy,1890,457,2629
buenavida_mas,1164,71,110
PilukaEsteban,149,158,955
ConchiSamper3,255,180,3185
flashmodainout,1281,728,14355
palibeblog,631,244,8215
Magda271murcia,1893,1333,16860
mai_maikshine,1752,980,28768
byjuliaserrano,8072,5149,31151
B2Btwins,170,513,234
Formacionyenol,913,1396,130
Forma_Docente,14,7,32
almazaraespadan,144,389,20
BaenaUniversal,155,94,354
OrganicookBio,143,723,36
Vivencia_dehesa,308,487,1557
tastegallerymad,857,921,58
antiqueubeda,434,362,25
juferza,384,319,2134
sebafoto,426,858,432
catalinaborras,525,521,194
AgronegociosMxx,42,110,1
CULTURA_ACEITE,972,1904,6422
lasolana2,1574,1343,405
SecSabina,104,254,65
conredsyaloloco,428,1279,174
wizzytye1807,115,232,823
